neuron_id,oscillation,mean_angle,var,p,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
2060,theta,1.33,0.9,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,51.05906425712709,5.052011893214174,0.2856849047653403
2061,delta,0.6,0.91,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,63.58598502509077,5.532684537620305,0.4114512969249624
2061,theta,1.93,0.97,0.1,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,63.58598502509077,5.532684537620305,0.4114512969249624
2062,delta,0.47,0.92,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,31.56182978719187,4.81125850743816,0.666310812299969
2062,theta,2.06,0.97,0.17,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,31.56182978719187,4.81125850743816,0.666310812299969
2065,delta,-0.86,0.95,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,55.04238510600007,2.8715691568656307,0.4594206815336139
2065,theta,0.68,0.95,0.05,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,55.04238510600007,2.8715691568656307,0.4594206815336139
2066,delta,1.9,0.96,0.01,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,70.9937258073555,2.663156876613765,0.5612144684105504
2066,theta,1.61,0.93,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,70.9937258073555,2.663156876613765,0.5612144684105504
2067,delta,1.08,0.87,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,55.90232691931078,1.9325164083536013,0.7743529455321012
2067,theta,1.61,0.95,0.1,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,55.90232691931078,1.9325164083536013,0.7743529455321012
2069,delta,0.67,0.92,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,45.81840945268422,1.1786410699726708,0.8448783008236231
2069,theta,2.26,0.91,0.01,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,45.81840945268422,1.1786410699726708,0.8448783008236231
2072,delta,2.29,0.83,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,50.97041719680075,0.6759696527495321,1.0013400798176506
2072,theta,1.47,0.97,0.74,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,50.97041719680075,0.6759696527495321,1.0013400798176506
2073,delta,2.25,0.57,0.01,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,39.19995457950069,2.080277284649149,0.8235165907984237
2073,theta,-2.28,0.9,0.66,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SIR,39.19995457950069,2.080277284649149,0.8235165907984237
2074,delta,0.72,0.93,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,56.12420430183775,3.561373466550223,0.2168229809051705
2074,theta,0.89,0.94,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,56.12420430183775,3.561373466550223,0.2168229809051705
2075,delta,1.03,0.91,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,41.93945373515231,6.269119208847437,0.704142964168285
2075,theta,1.29,0.96,0.0,hamilton_26,citalopram_discontinuation,HAMILTON,DIS,SR,41.93945373515231,6.269119208847437,0.704142964168285
2076,delta,0.17,0.9,0.0,hamilton_28,citalopram_discontinuation,HAMILTON,DIS,SR,62.00543986783663,3.6821566397874337,0.2256542671970558
2076,theta,1.3,0.86,0.0,hamilton_28,citalopram_discontinuation,HAMILTON,DIS,SR,62.00543986783663,3.6821566397874337,0.2256542671970558
2077,delta,1.46,0.98,0.01,hamilton_28,citalopram_discontinuation,HAMILTON,DIS,FF,60.66822395839361,8.319502131113026,0.6147352908080679
2077,theta,1.64,0.91,0.0,hamilton_28,citalopram_discontinuation,HAMILTON,DIS,FF,60.66822395839361,8.319502131113026,0.6147352908080679
2078,delta,0.28,0.95,0.0,hamilton_28,citalopram_discontinuation,HAMILTON,DIS,SR,65.1844254318195,4.674029872341028,0.4927606260742427
2078,theta,1.54,0.91,0.0,hamilton_28,citalopram_discontinuation,HAMILTON,DIS,SR,65.1844254318195,4.674029872341028,0.4927606260742427
2079,delta,1.78,0.97,0.0,hamilton_28,citalopram_discontinuation,HAMILTON,DIS,SR,60.94565890575504,6.156526927719312,0.6305042344679628
